Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,FC,FS,OFF,YC,RC,Year
Milos Stojcev,KC ,M,12,11,790,0,2,18,4,9,8,3,1,1,2011
Sam Cronin,SJ ,M,27,22,1903,0,2,21,2,29,10,0,6,1,2011
Ricardo Villar,DAL,M,20,14,1317,0,2,23,6,24,26,2,2,0,2011
Davy Arnaud,KC ,M,22,16,1536,0,2,24,4,19,28,0,2,0,2011
Teemu Tainio,NY ,M,28,28,2407,0,2,27,4,45,18,0,7,1,2011
Abdoulie Mansally,NE ,D,25,9,1140,0,2,29,4,28,29,10,3,1,2011
Gerson Mayen,SLV,M,4,1,106,0,1,0,0,2,3,0,0,0,2011
Jack Stewart,DAL,D,2,1,109,0,1,0,0,0,0,0,0,0,2011
Jed Zayner,DC ,D,4,4,311,0,1,0,0,9,4,0,0,0,2011
Chris Leitch,SJ ,D,14,12,1115,0,1,1,1,8,9,1,3,0,2011
Didier Domi,NE ,D,9,8,680,0,1,3,0,8,4,0,1,0,2011
Michael Videira,CHI,M,9,7,493,0,1,3,1,10,0,0,2,0,2011
Anthony Wallace,COL,D,10,8,719,0,1,4,0,7,5,0,3,0,2011
Leonardo González,SEA,D,14,12,1069,0,1,4,1,22,8,1,5,0,2011
Wes Knight,VAN,D,12,10,805,0,1,5,1,8,4,2,0,0,2011
Tony Beltran,RSL,D,22,19,1731,0,1,5,3,14,20,1,1,1,2011
Gregg Berhalter,LA ,D,10,8,748,0,1,5,1,13,8,0,3,0,2011
Jermaine Taylor,HOU,D,13,10,925,0,1,5,0,9,1,0,2,0,2011
Gianluca Zavarise,TOR,M,14,4,569,0,1,6,1,7,13,3,1,1,2011
Tim Ream,NY ,D,28,28,2520,0,1,6,3,10,9,0,2,0,2011
Brian Umony,POR,F,6,0,131,0,1,6,2,3,1,4,1,0,2011
Michael Stephens,LA ,M,25,12,1109,0,1,7,2,13,4,0,3,0,2011
Tyrone Marshall,COL,D,27,24,2177,0,1,7,0,24,14,0,4,0,2011
Paulo Nagamura,CHV,M,11,6,544,0,1,8,0,9,6,0,2,0,2011
Chris Wingert,RSL,D,23,22,1915,0,1,9,2,32,10,0,5,0,2011
Torsten Frings,TOR,M,13,13,1124,0,1,9,4,8,11,1,0,0,2011
Fred,DC ,M,17,5,596,0,1,10,1,14,10,1,3,0,2011
Jhon Kennedy Hurtado,SEA,D,23,23,1945,0,1,10,1,30,16,1,4,2,2011
Corben Bone,CHI,M,10,7,534,0,1,10,4,2,1,0,0,0,2011
Birahim Diop,KC ,M,18,8,761,0,1,10,1,19,6,0,3,0,2011
Matt Stinson,TOR,M,13,5,675,0,1,10,1,11,6,1,1,0,2011
Jeb Brovsky,VAN,D,24,16,1509,0,1,11,2,24,13,0,4,0,2011
Brad Ring,SJ ,D,21,17,1600,0,1,11,2,33,25,0,7,0,2011
Bobby Burling,SJ ,D,23,23,2041,0,1,11,2,22,17,0,4,2,2011
Kevin Burns,CLB,M,19,15,1243,0,1,11,2,12,7,2,4,0,2011
Kevin Alston,NE ,D,33,33,2954,0,1,13,1,25,45,0,1,0,2011
Chad Marshall,CLB,D,32,32,2835,0,1,15,6,19,28,1,2,0,2011
Jéferson,KC ,M,9,8,571,0,1,17,3,4,1,1,1,0,2011
Arturo Alvarez,RSL,M,16,8,724,0,1,18,1,12,9,3,0,0,2011
Chance Myers,KC ,D,28,24,2209,0,1,21,5,35,21,1,1,0,2011
Mikael Yourassowsky,TOR,D,21,13,1302,0,1,21,4,26,27,6,4,1,2011
Daniel Paladini,CHI,M,23,16,1491,0,1,37,14,37,15,1,7,0,2011
Alexandre Morfaw,VAN,M,2,1,135,0,0,0,0,4,2,0,0,0,2011
Eddy Viator,TOR,D,3,2,186,0,0,0,0,4,0,0,2,0,2011
Miguel Comminges,COL,D,4,4,322,0,0,0,0,3,1,0,1,1,2011
Marko Maric,CHI,M,1,0,19,0,0,0,0,1,1,0,0,0,2011
Taylor Graham,SEA,D,0,0,0,0,0,0,0,0,0,0,0,0,2011
Shavar Thomas,KC ,D,3,0,35,0,0,0,0,2,1,0,1,0,2011
Rodrigo López,POR,M,0,0,0,0,0,0,0,0,0,0,0,0,2011
Jason Hernandez,SJ ,D,28,28,2491,0,0,0,0,23,14,0,4,0,2011
Rauwshan McKenzie,RSL,D,2,2,180,0,0,0,0,2,2,0,0,0,2011
Joe Tait,PHI,D,0,0,0,0,0,0,0,0,0,0,0,0,2011
Kyle Davies,DAL,D,1,0,21,0,0,0,0,1,0,0,0,0,2011
Brian Nielsen,NY ,M,1,0,4,0,0,0,0,1,0,0,0,0,2011
Michael Holody,COL,D,0,0,0,0,0,0,0,0,0,0,0,0,2011
Mike Banner,CHI,M,0,0,0,0,0,0,0,0,0,0,0,0,2011
Danny O'Rourke,CLB,D,6,5,471,0,0,0,0,11,3,0,1,0,2011
Devon McTavish,DC ,D,0,0,0,0,0,0,0,0,0,0,0,0,2011
Kurt Morsink,DC ,M,2,2,157,0,0,0,0,0,3,0,1,0,2011
Ousmane Dabo,NE ,M,3,3,148,0,0,0,0,1,0,0,0,0,2011
Elbekay Bouchiba,TOR,M,0,0,0,0,0,0,0,0,0,0,0,0,2011
Carl Robinson,NY ,M,2,0,54,0,0,0,0,2,0,0,0,0,2011
Nick Kounenakis ,KC ,D,0,0,0,0,0,0,0,0,0,0,0,0,2011
Nery Castillo,CHI,F,0,0,0,0,0,0,0,0,0,0,0,0,2011
Eddie Robinson,HOU,D,2,2,146,0,0,0,0,1,4,0,0,0,2011
André Luiz,SJ ,M,0,0,0,0,0,0,0,0,0,0,0,0,2011
Blaise Nkufo,SEA,F,0,0,0,0,0,0,0,0,0,0,0,0,2011
Bratislav Ristic,CHI,M,9,5,413,0,0,0,0,5,6,0,1,0,2011
Peterson Joseph,KC ,M,1,0,8,0,0,0,0,0,0,0,0,0,2011
Chukwudi Chijindu,CHV,M,0,0,0,0,0,0,0,0,0,0,0,0,2011
Amadou Sanyang,SEA,D,1,0,8,0,0,0,0,0,0,0,0,0,2011
Daneil Cyrus,KC ,D,2,1,108,0,0,0,0,4,1,0,1,0,2011
Francisco Navas Cobo,HOU,M,0,0,0,0,0,0,0,0,0,0,0,0,2011
Edson Edward,DAL,D,0,0,0,0,0,0,0,0,0,0,0,0,2011
Kwame Watson-Siriboe,CHI,D,0,0,0,0,0,0,0,0,0,0,0,0,2011
Korede Aiyegbusi,KC ,D,3,1,94,0,0,0,0,1,0,0,0,0,2011
Mike Seamon,SEA,M-F,0,0,0,0,0,0,0,0,0,0,0,0,2011
Steven Kinney,CHI,D,0,0,0,0,0,0,0,0,0,0,0,0,2011
Miguel Montaño,SEA,F,2,0,31,0,0,0,0,1,1,1,0,0,2011
Omar Jasseh,SJ ,M,1,0,13,0,0,0,0,0,0,0,0,0,2011
Jordan Graye,HOU,D,0,0,0,0,0,0,0,0,0,0,0,0,2011
Bryan Leyva,DAL,M,0,0,0,0,0,0,0,0,0,0,0,0,2011
Juan Diego González,PHI,D,0,0,0,0,0,0,0,0,0,0,0,0,2011
Nicholas Lindsay,TOR,F,0,0,0,0,0,0,0,0,0,0,0,0,2011
Junior Carreiro,DC ,M,0,0,0,0,0,0,0,0,0,0,0,0,2011
Bryan de la Fuente,CHV,F,0,0,0,0,0,0,0,0,0,0,0,0,2011
Philippe Davies,VAN,M,0,0,0,0,0,0,0,0,0,0,0,0,2011
Andy Adlard,CLB,M,0,0,0,0,0,0,0,0,0,0,0,0,2011
Ben Sippola,CLB,M,0,0,0,0,0,0,0,0,0,0,0,0,2011
Korey Veeder,CLB,D,0,0,0,0,0,0,0,0,0,0,0,0,2011
Josh Williams,CLB,D,0,0,0,0,0,0,0,0,0,0,0,0,2011
Michael Tetteh,SEA,D,0,0,0,0,0,0,0,0,0,0,0,0,2011
Steven Emory,COL,M,0,0,0,0,0,0,0,0,0,0,0,0,2011
Conor Shanosky,DC ,M-D,0,0,0,0,0,0,0,0,0,0,0,0,2011
Cole Grossman,CLB,M,2,0,12,0,0,0,0,0,0,0,0,0,2011
Marcos Paullo,NY ,M,0,0,0,0,0,0,0,0,0,0,0,0,2011
Davy Armstrong,COL,M,0,0,0,0,0,0,0,0,0,0,0,0,2011
Victor Pineda,CHI,M,0,0,0,0,0,0,0,0,0,0,0,0,2011
Hector Jimenez,CLB,M,2,1,115,0,0,0,0,1,0,1,0,0,2011
Dustin McCarty,LA ,M,0,0,0,0,0,0,0,0,0,0,0,0,2011
Ryan Thomas,LA ,D,1,0,13,0,0,0,0,1,0,0,0,0,2011
Mike Jones,KC ,D,1,0,1,0,0,0,0,0,0,0,0,0,2011
Josue Soto,HOU,D-M,0,0,0,0,0,0,0,0,0,0,0,0,2011
Ryan Richter,PHI,D,0,0,0,0,0,0,0,0,0,0,0,0,2011
Chris Taylor,POR,D,0,0,0,0,0,0,0,0,0,0,0,0,2011
Freddie Braun ,POR,M,0,0,0,0,0,0,0,0,0,0,0,0,2011
Sean Alvarado,LA ,D,0,0,0,0,0,0,0,0,0,0,0,0,2011
Demitrius Omphroy,TOR,D,1,0,1,0,0,0,0,0,1,0,0,0,2011
Davis Paul,CHI,F,1,1,45,0,0,0,0,0,0,0,0,0,2011
Spencer Thompson,POR,F,0,0,0,0,0,0,0,0,0,0,0,0,2011
Levi Houapeu,PHI,F,0,0,0,0,0,0,0,0,0,0,0,0,2011
Rodrigo Brasesco,DC ,D,3,2,155,0,0,0,0,1,1,0,0,0,2011
Scott Lorenz,KC ,D,1,1,84,0,0,0,0,3,0,0,0,0,2011
Konrad Warzycha,KC ,M,0,0,0,0,0,0,0,0,0,0,0,0,2011
Kevin Ellis,KC ,D,0,0,0,0,0,0,0,0,0,0,0,0,2011
Alan Koger,NE ,F,0,0,0,0,0,0,0,0,0,0,0,0,2011
Michael Augustine,NE ,M,0,0,0,0,0,0,0,0,0,0,0,0,2011
Andrew Sousa,NE ,M,0,0,0,0,0,0,0,0,0,0,0,0,2011
Ryan Kinne,NE ,M,1,0,1,0,0,0,0,0,0,0,0,0,2011
Chris Agorsor,PHI,F,1,0,10,0,0,0,0,0,0,0,0,0,2011
Sacir Hot,NY ,D,0,0,0,0,0,0,0,0,0,0,0,0,2011
Moises Hernandez,DAL,D,0,0,0,0,0,0,0,0,0,0,0,0,2011
Victor Ulloa,MIA,M,1,0,9,0,0,0,0,0,0,0,0,0,2011
Jonathan Top,DAL,F,0,0,0,0,0,0,0,0,0,0,0,0,2011
Maxwell Griffin,SJ ,F,4,0,46,0,0,0,0,0,0,3,0,0,2011
Lawrence Olum,KC ,D,1,0,13,0,0,0,0,0,0,0,0,0,2011
Carlyle Mitchell,VAN,D,3,3,241,0,0,0,0,3,1,0,0,0,2011
Morgan Langley,PHI,M,1,0,10,0,0,0,0,1,0,0,0,0,2011
Yordany Álvarez,RSL,M,5,4,419,0,0,0,0,21,4,0,4,0,2011
Nico Muñiz,RSL,M,0,0,0,0,0,0,0,0,0,0,0,0,2011
Eddie Ababio,COL,D,0,0,0,0,0,0,0,0,0,0,0,0,2011
Santiago Prim,CLB,M,0,0,0,0,0,0,0,0,0,0,0,0,2011
Aaron Horton,CLB,F,1,0,1,0,0,0,0,0,0,0,0,0,2011
Tyler Lassiter,NY ,D,0,0,0,0,0,0,0,0,0,0,0,0,2011
Seth Owusu,CHV,D,0,0,0,0,0,0,0,0,0,0,0,0,2011
Matt Gold,TOR,D,3,0,45,0,0,0,0,1,0,0,0,0,2011
Pari Pantazopoulos,CHI,M,0,0,0,0,0,0,0,0,0,0,0,0,2011
Otto Loewy,NE ,D,0,0,0,0,0,0,0,0,0,0,0,0,2011
Josh Janniere,COL,M,0,0,0,0,0,0,0,0,0,0,0,0,2011
Donny Toia,RSL,D,0,0,0,0,0,0,0,0,0,0,0,0,2011
Teddy Schneider,NY ,D,0,0,0,0,0,0,0,0,0,0,0,0,2011
Bilal Duckett,VAN,D,4,2,226,0,0,1,1,4,1,0,1,0,2011
Corey Hertzog,NY ,F,5,0,35,0,0,1,1,0,2,0,0,0,2011
Matt Kassel,NY ,D-M,2,0,82,0,0,1,1,1,0,0,0,0,2011
Mouloud Akloul,VAN,D,8,7,625,0,0,1,1,7,6,1,2,0,2011
Cody Arnoux,RSL,F,2,0,69,0,0,1,0,1,1,0,0,0,2011
Matt Luzunaris,SJ ,F,6,0,63,0,0,1,0,3,2,1,0,0,2011
Edmundo Zura,SJ ,F,1,0,19,0,0,1,0,0,0,0,0,0,2011
Danny Earls,COL,D,4,3,224,0,0,1,1,0,2,0,0,0,2011
Chris Albright,NY ,D,8,6,482,0,0,1,0,4,8,1,0,0,2011
Leandre Griffit,CLB,M,1,0,2,0,0,1,1,0,0,0,0,0,2011
Tim Ward,SJ ,D,3,2,226,0,0,1,0,0,6,0,0,0,2011
Gabriel Ferrari,CHI,F,3,0,17,0,0,1,1,3,1,0,0,0,2011
Greg Janicki,VAN,D,10,8,752,0,0,1,0,13,5,1,1,0,2011
John Rooney,NY ,M,5,0,48,0,0,1,0,0,0,0,0,0,2011
Peter Lowry,POR,M,3,2,146,0,0,1,0,1,2,0,1,0,2011
Kevin Harmse,VAN,M,3,1,126,0,0,1,0,0,1,0,0,0,2011
Steve Purdy,POR,D,8,8,720,0,0,2,1,12,9,0,2,0,2011
Brandon Barklage,DC ,D,4,0,38,0,0,2,1,1,0,0,0,0,2011
Maykel Galindo,DAL,F,6,1,147,0,0,2,0,0,0,2,0,0,2011
Michael Harrington,KC ,D,23,16,1495,0,0,2,0,14,16,0,5,0,2011
Carlos Mendes,NY ,D,18,16,1505,0,0,2,1,21,9,0,3,0,2011
Craig Rocastle,KC ,M,6,5,306,0,0,2,0,6,7,0,0,0,2011
Peter Vagenas,VAN,M,16,13,1042,0,0,2,0,11,6,0,0,0,2011
Frankie Hejduk,LA ,D,6,6,472,0,0,2,1,13,1,0,5,0,2011
Ross LaBauex,COL,M,11,4,313,0,0,2,1,5,8,2,3,0,2011
Tristan Bowen,CHV,F,3,0,60,0,0,2,0,2,2,0,0,0,2011
Darrius Barnes,NE ,D,28,22,2153,0,0,2,1,14,12,1,1,0,2011
Dejan Jakovic,LAFC,D,15,15,1324,0,0,2,1,18,9,0,3,1,2011
Andrew Wiedeman,DAL,F,3,0,59,0,0,2,1,0,1,1,0,0,2011
Justin Morrow,TOR,D,9,9,810,0,0,2,0,9,5,1,1,0,2011
Russell Teibert,VAN,M,11,5,503,0,0,2,0,4,6,0,0,0,2011
Doneil Henry,TOR,D,10,6,503,0,0,2,1,7,1,1,1,0,2011
Joseph Nane,COL,M,10,2,308,0,0,2,1,6,3,0,0,0,2011
Michael Nanchoff,VAN,M,5,1,137,0,0,2,0,3,0,0,0,0,2011
Kofi Sarkodie,HOU,D,7,7,582,0,0,2,0,10,6,0,2,1,2011
Michael Boxall,MIN,D,19,18,1616,0,0,2,2,25,10,0,3,0,2011
Keith Makubuya,TOR,F,1,0,45,0,0,2,0,0,0,0,0,0,2011
Artur Aghasyan,RSL,F,4,1,98,0,0,3,0,5,2,1,0,0,2011
Oscar Cordon,TOR,M,4,1,144,0,0,3,1,6,2,0,1,0,2011
Zach Pfeffer,PHI,M,3,2,136,0,0,3,2,1,2,0,0,0,2011
Eric Gehrig,CLB,D,8,4,474,0,0,3,0,2,1,0,1,0,2011
Dan Keat,LA ,M,5,1,117,0,0,3,0,2,2,0,0,0,2011
Shaun Francis,CLB,D,6,5,428,0,0,3,0,10,5,0,1,0,2011
David Estrada,SEA,M-F,3,1,108,0,0,3,0,1,1,1,0,0,2011
Ike Opara,MIN,D,8,5,485,0,0,3,0,10,4,3,1,0,2011
Dasan Robinson,CHI,D,6,3,338,0,0,3,0,4,9,1,1,0,2011
Scott Sealy,SJ ,F,11,6,419,0,0,3,0,3,8,5,0,0,2011
A.J. DeLaGarza,MIA,D,30,30,2627,0,0,3,1,31,31,1,3,0,2011
Zach Scott,SEA,D,12,9,864,0,0,3,0,11,6,0,3,0,2011
Adrian Cann,TOR,D,12,12,988,0,0,3,0,11,3,0,0,0,2011
Kheli Dube,NE ,F,5,0,114,0,0,3,1,2,1,2,0,0,2011
Nathan Sturgis,TOR,M,14,11,953,0,0,3,0,3,13,0,1,0,2011
Jonathan Leathers,VAN,D,22,21,1840,0,0,4,1,15,8,0,3,0,2011
David Júnior Lopes,CHV,D,8,7,580,0,0,4,0,13,8,0,2,1,2011
Jay DeMerit,VAN,D,21,20,1671,0,0,4,1,20,13,1,4,0,2011
Jason Garey,HOU,F,10,2,164,0,0,4,1,4,1,2,0,0,2011
Ryan Pore,POR,M,8,2,200,0,0,4,0,2,6,2,0,0,2011
Jovan Kirovski,LA ,M-F,13,2,244,0,0,4,0,4,1,0,1,1,2011
Josip Mikulic,CHI,D,14,12,1038,0,0,4,0,21,5,0,5,1,2011
Franco Coria,NE ,D,18,14,1250,0,0,4,0,29,5,0,5,0,2011
Zarek Valentin,HOU,D,25,24,2114,0,0,4,0,20,13,1,5,0,2011
Dicoy Williams,TOR,D,8,7,655,0,0,4,1,10,2,0,1,0,2011
Chris Cortez,CHV,F,9,1,207,0,0,5,1,7,3,2,1,0,2011
John Thorrington,VAN,M,11,9,740,0,0,5,0,14,7,1,1,0,2011
Macoumba Kandji,COL,F,9,1,123,0,0,5,1,2,3,2,0,0,2011
Nana Attakora,SJ ,D,12,9,756,0,0,5,0,8,9,0,2,0,2011
Ty Harden,TOR,D,26,24,2120,0,0,6,1,24,7,0,3,1,2011
Blake Wagner,RSL,D-M,11,10,841,0,0,6,2,11,11,0,0,0,2011
Andy Iro,CLB,D,17,15,1323,0,0,6,0,24,16,1,4,1,2011
Richard Eckersley,TOR,D,23,22,1953,0,0,6,3,41,42,0,6,0,2011
Stéphane Auvray,KC ,M,12,4,449,0,0,6,0,7,6,0,0,0,2011
Logan Pause,CHI,M,29,28,2514,0,0,6,2,25,11,0,3,0,2011
Pat Noonan,SEA,F,9,2,259,0,0,6,3,2,3,3,0,0,2011
Seth Sinovic,NE,D,20,20,1737,0,0,6,2,15,15,1,2,0,2011
Yamith Cuesta,CHI,D,20,18,1681,0,0,7,1,34,13,3,3,1,2011
Servando Carrasco,SEA,M,12,7,689,0,0,7,0,11,5,0,5,0,2011
James Marcelin,POR,M,20,12,1142,0,0,8,0,20,10,1,4,0,2011
Branko Boskovic,DC ,M,4,1,124,0,0,8,2,1,1,0,0,0,2011
Stefani Miglioranzi,PHI,M,17,11,980,0,0,8,0,15,11,0,1,0,2011
David Horst,POR,D,16,11,1170,0,0,8,4,11,11,3,0,0,2011
Corey Ashe,HOU,M,32,30,2617,0,0,9,1,13,34,2,2,0,2011
Clyde Simms,DC ,M,29,29,2404,0,0,10,1,20,6,0,2,0,2011
Joseph Ngwenya,DC ,F,16,7,629,0,0,11,6,20,11,7,1,0,2011
Alen Stevanovic,TOR,M,12,9,773,0,0,11,3,6,10,2,1,0,2011
Amobi Okugo,PHI,D-M,15,10,811,0,0,12,4,18,8,0,2,0,2011
Mustapha Jarju,VAN,F,10,5,450,0,0,14,3,5,4,4,0,0,2011
Ned Grabavoy,RSL,M,25,21,1899,0,0,17,3,25,38,3,3,0,2011
Eric Alexander,DAL,M,28,19,1467,0,0,19,3,12,7,2,0,0,2011
Paolo Cardozo,LA ,M,17,8,821,0,0,26,9,18,30,4,1,0,2011
Chris Wondolowski,SJ,F,32,31,2813,27,7,127,55,19,25,28,3,0,2012
Kenny Cooper,NY ,F,33,26,2505,18,3,84,46,36,28,20,3,0,2012
Alvaro Saborio,RSL,F,31,26,2390,17,3,87,40,35,37,37,5,0,2012
Robbie Keane,LA ,F,28,28,2519,16,9,94,43,15,34,27,0,0,2012
Thierry Henry,NY ,F,25,24,2108,15,12,88,37,18,26,24,5,0,2012
Eddie Johnson,SEA,F,28,24,2119,14,3,72,25,40,46,35,6,0,2012
Fredy Montero,VAN,F,33,28,2576,13,8,126,46,63,68,24,5,1,2012
Alan Gordon,SJ ,F,23,13,1297,13,7,43,25,54,35,15,7,1,2012
Chris Pontius,DC ,M,31,26,2339,12,4,71,29,19,49,5,3,0,2012
Will Bruin,SEA,F,32,31,2510,12,4,78,35,14,20,12,1,0,2012
Kei Kamara,COL,F,33,32,2871,11,8,134,49,46,63,12,3,0,2012
Saer Sene,NE ,M,25,23,1934,11,3,75,35,20,37,15,0,0,2012
Steven Lenhart,SJ ,F,26,18,1623,10,2,64,33,52,46,27,7,1,2012
Landon Donovan,LA ,M-F,26,25,2256,9,14,65,29,33,43,5,6,0,2012
Patrice Bernier,MTL,M,27,25,2194,9,8,32,15,43,16,0,5,0,2012
Fabian Espindola,RSL,F,30,27,2293,9,7,69,30,46,36,21,7,1,2012
Jairo Arrieta,CLB,F,18,18,1534,9,4,41,21,21,19,41,1,0,2012
Blas Pérez,DAL,F,20,19,1705,9,4,53,23,33,37,18,3,1,2012
Danny Koevermans,TOR,F,16,12,1186,9,2,39,24,23,12,16,2,0,2012
Eddie Gaven,CLB,M,34,34,2990,9,2,55,27,29,61,10,2,0,2012
CJ Sapong,CHI,F,31,24,2210,9,2,61,24,38,51,16,2,0,2012
Brad Davis,HOU,M,31,28,2523,8,12,53,22,40,35,0,3,0,2012
Jaime Castrillón,COL,M,30,29,2417,8,4,50,18,41,29,0,3,1,2012
Jack McInerney,PHI,F,25,18,1630,8,3,42,19,24,16,29,4,1,2012
Chris Rolfe,CHI,F,22,19,1760,8,3,58,20,12,26,5,1,0,2012
Lionard Pajoy,DC ,F,32,28,2475,8,3,59,20,34,35,34,5,0,2012
Simon Dawkins,SJ ,M,27,21,1847,8,1,65,24,26,35,3,2,0,2012
Dwayne De Rosario,DC ,M,26,25,2195,7,12,81,26,36,31,34,4,0,2012
David Beckham,LA ,M,24,23,1985,7,9,40,18,28,25,0,7,0,2012
Ryan Johnson,TOR,F,31,31,2769,7,5,67,23,46,44,21,6,0,2012
Juninho,LA ,M,32,30,2666,7,4,52,20,42,27,0,6,0,2012
Maicon Santos,DC ,F,26,16,1470,7,3,64,19,32,16,21,4,0,2012
Darren Mattocks,VAN,F,21,15,1300,7,1,38,16,16,32,12,7,2,2012
Kris Boyd,POR,F,26,22,1893,7,1,63,28,33,12,28,4,0,2012
Marco Pappa,CHI,M,22,20,1615,6,5,69,21,28,32,3,5,0,2012
Nick DeLeon,TOR,M,28,25,2175,6,4,44,22,25,29,6,0,0,2012
Fabian Castillo,DAL,M-F,26,23,1892,6,3,36,19,20,22,14,7,0,2012
Dominic Oduro,CHI,M,33,21,1823,6,3,54,25,21,35,31,3,0,2012
Sanna Nyassi,MTL,M,28,17,1716,6,3,58,31,47,28,20,9,0,2012
Omar Cummings,COL,F,28,23,2000,6,2,76,28,18,23,22,1,0,2012
Darlington Nagbe,CLB,M,33,31,2777,6,1,50,16,16,46,6,0,0,2012
Gabriel Gómez,PAN,M,24,18,1578,6,0,30,9,36,24,2,5,0,2012
Hamdi Salihi,DC ,F,22,10,945,6,0,32,17,9,13,6,3,0,2012
Graham Zusi,SKC,M,32,31,2788,5,15,82,24,39,45,4,3,0,2012
Federico Higuain,DC,F,13,11,1004,5,7,32,9,8,11,7,2,0,2012
Camilo Sanvezzo,VAN,F,28,19,1719,5,7,64,24,41,49,23,4,0,2012
Joel Lindpere,NY ,M,34,26,2385,5,5,28,12,33,30,4,5,0,2012
Brian Ching,HOU,F,30,13,1385,5,5,35,15,14,28,22,0,0,2012
Eric Hassli,TOR,F,25,16,1469,5,5,49,16,63,22,24,8,0,2012
Luis Silva,TOR,F,30,22,2061,5,5,50,19,14,32,5,1,0,2012
Mike Magee,LA ,M,29,24,2078,5,4,56,22,20,41,8,2,0,2012
Marco Di Vaio,MTL,F,17,16,1366,5,3,49,15,13,11,40,1,0,2012
Kamani Hill,COL,F,19,3,582,5,2,15,8,8,11,2,1,0,2012
Sébastien Le Toux,NY ,F,33,27,2522,5,2,34,16,17,24,18,0,0,2012
Lee Nguyen,MIA,M,30,27,2386,5,2,60,18,31,49,0,3,0,2012
Freddy Adu,PHI,F,24,20,1468,5,1,33,13,24,28,3,2,1,2012
Teal Bunbury,NE,F,22,14,1247,5,1,50,16,23,15,9,2,0,2012
David Estrada,SEA,M-F,17,12,1027,5,0,25,10,6,12,6,1,0,2012
Bright Dike,POR,F,12,9,896,5,0,29,12,16,16,8,0,0,2012
Felipe,DC,M,30,30,2652,4,10,59,23,48,70,3,5,0,2012
Patrick Nyarko,CHI,F-M,34,31,2756,4,7,40,13,41,84,8,3,0,2012
Jackson Goncalves,DAL,M,21,18,1732,4,7,56,14,46,36,6,4,0,2012
Boniek Garcia,HOU,M,17,17,1530,4,6,30,12,19,31,4,0,0,2012
Sherjill MacDonald,CHI,F,14,12,1033,4,4,32,11,17,6,12,2,0,2012
Kyle Beckerman,RSL,M,30,29,2592,4,4,35,8,57,23,1,6,1,2012
Brad Evans,SEA,D-M,29,29,2371,4,4,35,13,18,24,2,2,0,2012
Álvaro Fernández,CHI,M,27,23,1863,4,3,29,7,16,43,4,2,1,2012
Dane Richards,NY ,M,29,26,2402,4,3,30,11,60,26,11,9,0,2012
Davy Arnaud,MTL,M,33,31,2765,4,3,40,13,42,74,5,7,0,2012
Calen Carr,HOU,F,26,17,1512,4,2,29,11,22,29,5,6,0,2012
Macoumba Kandji,HOU,F,29,21,1630,4,2,34,16,46,26,23,3,0,2012
Milovan Mirosevic,CLB,M,26,25,2140,4,2,46,14,27,49,3,2,0,2012
Bernardo Corradi,MTL,F,11,7,619,4,1,13,7,14,14,12,3,0,2012
Antoine Hoppenot,PHI,F,25,3,817,4,1,18,8,14,25,18,2,0,2012
Jacob Peterson,KC ,F,23,9,942,4,1,24,11,7,7,2,0,1,2012
Justin Meram,RSL,M,22,11,960,4,1,27,10,22,15,1,3,0,2012
Andrew Wenger,MTL,D-M,23,7,823,4,0,20,9,13,7,9,0,0,2012
Juan Pablo Angel,CHV,F,19,9,1004,4,0,50,18,16,5,10,0,0,2012
Mauro Rosales,SEA,M,27,25,2031,3,13,16,5,20,44,2,1,0,2012
Marvin Chávez,SJ ,M,27,23,1910,3,13,42,14,38,32,5,5,0,2012
Javier Morales,RSL,M,29,23,2119,3,9,31,12,42,69,4,5,0,2012
Jan Gunnar Solli,NY ,D,24,21,1865,3,5,16,9,16,10,1,2,0,2012
Kelyn Rowe,NE,M,30,21,1897,3,5,43,20,20,24,5,1,0,2012
Shalrie Joseph,CHV,M,30,27,2561,3,4,22,6,42,31,0,7,0,2012
Jack Jewsbury,POR,M,32,31,2765,3,4,35,10,36,35,1,5,0,2012
Miller Bolaños,ECU,M,24,21,1858,3,4,68,20,45,43,3,5,0,2012
Will Johnson,RSL,D,26,23,2087,3,3,36,18,24,28,0,4,1,2012
Dax McCarty,NSH,M,33,33,2918,3,3,40,10,40,57,3,6,0,2012
Juan Agudelo,MIA,F,24,17,1570,3,3,44,16,36,26,6,1,0,2012
Emilio Rentería,CLB,F,27,16,1542,3,3,50,14,31,42,17,4,0,2012
Tony Cascio,COL,M,29,18,1692,3,3,53,19,24,24,6,1,0,2012
Drew Moor,COL,D,34,34,3060,3,2,17,8,25,32,3,3,0,2012
Barry Robson,VAN,M,17,16,1421,3,2,32,9,31,56,4,2,0,2012
Gershon Koffie,VAN,M,29,28,2503,3,2,39,11,59,70,1,9,0,2012
Brek Shea,MIA,D,21,20,1747,3,2,55,20,28,20,14,1,0,2012
Gonzalo Segares,CHI,D,31,31,2682,3,1,15,8,30,31,2,5,2,2012
Danny Mwanga,PHI,F,27,12,1198,3,1,18,7,16,10,8,0,0,2012
Aurelien Collin,PHI,D,29,28,2490,3,1,28,7,57,28,5,6,0,2012
Edson Buddle,LA ,F,19,10,969,3,1,31,9,37,16,9,0,0,2012
Andre Akpan,COL,F,15,4,434,3,0,9,5,6,8,2,0,0,2012
